,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Category
38,Mitte,52.51674,13.36679,CONTIPARK Tiefgarage Friedrichstadt-Passagen (Q 205),52.513054,13.390762,1674,Parking
39,Mitte,52.51674,13.36679,Parkplatz Johannisstraße,52.524846,13.390321,1831,Parking
40,Mitte,52.51674,13.36679,Parkhaus Gleisdreieck,52.502411689614846,13.374710803825925,1682,Parking
41,Mitte,52.51674,13.36679,CONTIPARK Parkplatz Voßstraße,52.511037,13.379071,1046,Parking
42,Mitte,52.51674,13.36679,Busparkplatz Hannah-Arendt-Straße,52.513491197169394,13.379774068004217,951,Parking
43,Mitte,52.51674,13.36679,Busparkplatz Friedrichstrasse 90,52.518242,13.388453,1476,Parking
44,Mitte,52.51674,13.36679,Q-Park Operncarrée,52.5152093,13.3938169,1838,Parking
45,Mitte,52.51674,13.36679,Klättos Parkplatz,52.51826069627019,13.384334072068839,1200,Parking
46,Mitte,52.51674,13.36679,parkhaus,52.51849342902751,13.390981317267402,1650,Parking
47,Mitte,52.51674,13.36679,PARK ONE Tiefgarage Schultheiss Quartier,52.5265992,13.3438481,1902,Parking
48,Mitte,52.51674,13.36679,CONTIPARK Tiefgarage Friedrichstadt-Passagen (Q 207),52.513939,13.390086,1608,Parking
49,Mitte,52.51674,13.36679,Busparkplatz Checkpoint Charlie,52.50768474270686,13.38946120824412,1837,Parking
50,Mitte,52.51674,13.36679,Conti Parkhaus,52.51387,13.390202,1617,Parking
51,Mitte,52.51674,13.36679,THR headquarters,52.5088544360078,13.37512627764529,1043,Parking
52,Mitte,52.51674,13.36679,Interline,52.519423275684666,13.390201529708165,1613,Parking
53,Mitte,52.51674,13.36679,CONTIPARK Tiefgarage Friedrichstadt-Passagen (Q 206),52.513054,13.390762,1674,Parking
54,Mitte,52.51674,13.36679,Interparking,52.524149,13.366378,825,Parking
55,Mitte,52.51674,13.36679,Tiefgarage,52.519957,13.355786,826,Parking
56,Mitte,52.51674,13.36679,Parkhaus Hauptbahnhof,52.52448566323317,13.368580341339111,870,Parking
57,Mitte,52.51674,13.36679,Parkhaus LP12,52.510938673181506,13.38160514831543,1193,Parking
58,Mitte,52.51674,13.36679,Tiefgarage Potsdamer Platz,52.50926446992157,13.373152472290828,937,Parking
